Servings/s,Calories/s,Fat/s,Sat_Fat/s,Trans_Fat/s,Mono_Fat/s,Poly_Fat/s,Carbs/s,Fiber/s,Sugars/s,Protein/s,Cholesterol/s,Sodium/s,Calcium/s,Magnesium/s,Potassium/s,Iron/s,Zinc/s,Phosphorus/s,Vit_A/s,Vit_C/s,B1/s,B2/s,B3/s,B6/s,Folate_eq/s,Folate_food/s,B12/s,Vit_D/s,Vit_E/s,Vit_K/s,Water/s,CarbScore,CholoScore,TotalFatScore,SugarScore,HealthyGradScore,HealthyScore
1,100.783428,3.70656675,0.478813857,0.00174375,1.190110117,1.662027684,12.93516208,2.351609548,0.802768879,4.440049524,0,12.83580287,23.59380385,45.17364593,200.3442992,1.199043219,0.783538302,108.5171599,65.05926153,1.729994067,0.101482394,0.085741311,0.500071725,0.108400938,91.22949804,91.22949804,2.17E-05,0.004374102,0.598907562,6.954945987,58.28848841,1,1,1,1,4,1
1,93.52765312,3.372725258,1.217548129,0.0581845,1.620999011,0.330805051,14.52458957,4.714057915,6.700122703,4.058302123,3.81625,464.35736,57.44444572,30.60646301,475.9932031,3.218441517,0.904380313,96.61657617,55.43728409,16.7897726,0.197895001,0.183551184,1.293238262,0.300941689,83.64042229,83.64042229,0.0030175,1.065,1.597008651,50.05998228,176.4429647,1,1,1,1,4,1
1,101.5271625,3.950959048,0.67561734,0,2.540637798,0.436855544,14.24265989,2.691121396,3.243868377,3.759775228,1.59375,331.3296316,34.02048044,24.81850413,436.0396456,1.868542295,0.595227769,88.3368806,25.30132508,9.88539929,0.13895253,0.11674704,1.249877665,0.204740365,46.16875599,46.16875599,0.0403125,0.28125,1.147883988,27.67775405,119.2936433,1,1,1,1,4,1
1,81.3891185,3.745692711,0.558064487,0,2.4996575,0.501540046,10.87084599,4.103484943,5.607749139,3.684323035,0,153.3509619,47.9712922,30.34223295,490.1968969,2.85325668,0.8275847,89.8295081,83.53502515,20.61129318,0.208417772,0.18625331,1.680921595,0.210355764,78.3412581,78.3412581,0,0,2.261850945,62.91078148,214.2308318,1,1,1,1,4,1
1,76.27422954,3.713546395,0.424642851,0,1.780703212,1.329018825,9.893676844,3.403680776,5.222974139,3.123549473,0,239.2730999,58.47375053,25.64613399,300.8650219,2.723596107,0.761398554,77.15084143,47.49806682,27.68112651,0.199297272,0.18235131,1.333961136,0.144045556,72.7583831,72.7583831,0,0,1.356905112,47.79853565,137.3425825,1,1,1,1,4,1
1,74.4421185,3.612577711,0.527581737,0,2.46785625,0.457902796,9.490295989,2.929359943,2.637884139,3.399008035,0,323.2954211,53.35013174,20.2636846,295.44151,2.714743223,0.783244864,80.0270081,43.16377515,14.71529318,0.190259272,0.17569131,1.213433345,0.265192264,61.5645081,61.5645081,0,0,1.786835945,49.45035648,121.6118422,1,1,1,1,4,1
1,135.755,13.81155,1.894565,0,9.867155,1.533835,2.93125,1.206,0.7571,1.4338,0,109.29756,50.44463005,15.74748459,164.6398767,0.568869913,0.187848459,30.82,167.5,40.2,0.03685,0.04355,0.335,0.090785,47.235,47.235,0,0,2.45315,244.235,28.15389692,1,1,1,1,4,1
1,88.4975,7.260825,0.9834225,0,4.9525925,0.8930525,5.748275,2.215,1.49815,2.3102,0,166.27182,79.30337269,24.78128636,266.8352909,0.864724499,0.290478636,48.55,251.395,67.985,0.061075,0.068225,0.517,0.1477775,72.4475,72.4475,0,0,1.764225,358.2255,55.13295727,1,1,1,1,4,1
1,108.915,7.68465,1.023495,0,4.9771275,1.0499925,8.79375,3.618,2.2713,4.3014,0,249.40773,150.9482081,47.24044617,493.5660694,1.516947237,0.563344617,92.46,502.5,120.6,0.11055,0.13065,1.005,0.272355,141.705,141.705,0,0,2.516325,712.3875,84.46128923,1,1,1,1,4,1
1,18.056291,0.44310366,0.048914072,0,0.112845299,0.125200918,3.07294195,1.2707373,0.75776624,1.45469599,0,80.93623847,51.80392367,15.97254269,165.9767426,0.542663569,0.191631959,31.020478,167.768107,40.2108,0.036998428,0.04373738,0.336633863,0.091195931,47.252697,47.252697,0,0,0.53678264,236.2952117,29.1265572,1,1,1,1,4,1
